Date,HomeTeam,AwayTeam,HT,FT
2021-03-01,Everton,Southampton,1-0,1-0
2021-03-02,Man City,Wolves,1-0,4-1
2021-03-03,Burnley,Leicester,1-1,1-1
2021-03-03,Sheffield United,Aston Villa,1-0,1-0
2021-03-03,Crystal Palace,Man United,0-0,0-0
2021-03-04,Liverpool,Chelsea,0-1,0-1
2021-03-04,Fulham,Tottenham,0-1,0-1
2021-03-04,West Brom,Everton,0-0,0-1
2021-03-06,Burnley,Arsenal,1-1,1-1
2021-03-06,Sheffield United,Southampton,0-1,0-2
2021-03-06,Aston Villa,Wolves,0-0,0-0
2021-03-06,Brighton,Leicester,1-0,1-2
2021-03-07,Tottenham,Crystal Palace,1-1,4-1
2021-03-07,West Brom,Newcastle,0-0,0-0
2021-03-07,Liverpool,Fulham,0-1,0-1
2021-03-07,Man City,Man United,0-1,0-2
2021-03-08,Chelsea,Everton,1-0,2-0
2021-03-08,West Ham,Leeds,2-0,2-0
2021-03-10,Man City,Southampton,3-1,5-2
2021-03-12,Newcastle,Aston Villa,0-0,1-1
2021-03-13,Everton,Burnley,1-2,1-2
2021-03-13,Fulham,Man City,0-0,0-3
2021-03-13,Leeds,Chelsea,0-0,0-0
2021-03-13,Crystal Palace,West Brom,1-0,1-0
2021-03-14,Leicester,Sheffield United,1-0,5-0
2021-03-14,Arsenal,Tottenham,1-1,2-1
2021-03-14,Southampton,Brighton,1-1,1-2
2021-03-14,Man United,West Ham,0-0,1-0
2021-03-15,Wolves,Liverpool,0-1,0-1
2021-03-19,Fulham,Leeds,1-1,1-2
2021-03-20,Brighton,Newcastle,1-0,3-0
2021-03-21,West Ham,Arsenal,3-1,3-3
2021-03-21,Aston Villa,Tottenham,0-1,0-2
2021-04-03,Chelsea,West Brom,1-2,2-5
2021-04-03,Leeds,Sheffield United,1-1,2-1
2021-04-03,Leicester,Man City,0-0,0-2
2021-04-03,Arsenal,Liverpool,0-0,0-3
2021-04-04,Man United,Brighton,0-1,2-1
2021-04-04,Aston Villa,Fulham,0-0,3-1
2021-04-04,Newcastle,Tottenham,1-2,2-2
2021-04-04,Southampton,Burnley,2-2,3-2
2021-04-05,Everton,Crystal Palace,0-0,1-1
2021-04-05,Wolves,West Ham,1-3,2-3
2021-04-09,Fulham,Wolves,0-0,0-1
2021-04-10,Man City,Leeds,0-1,1-2
2021-04-10,Liverpool,Aston Villa,0-1,2-1
2021-04-10,Crystal Palace,Chelsea,0-3,1-4
2021-04-11,Tottenham,Man United,1-0,1-3
2021-04-11,Sheffield United,Arsenal,0-1,0-3
2021-04-11,Burnley,Newcastle,1-0,1-2
2021-04-11,West Ham,Leicester,2-0,3-2
2021-04-12,West Brom,Southampton,2-0,3-0
2021-04-12,Brighton,Everton,0-0,0-0
2021-04-16,Everton,Tottenham,1-1,2-2
2021-04-17,Newcastle,West Ham,2-0,3-2
2021-04-17,Wolves,Sheffield United,0-0,1-0
2021-04-18,Arsenal,Fulham,0-0,1-1
2021-04-18,Man United,Burnley,0-0,3-1
2021-04-19,Leeds,Liverpool,0-1,1-1
2021-04-20,Chelsea,Brighton,0-0,0-0
2021-04-21,Aston Villa,Man City,1-2,1-2
2021-04-21,Tottenham,Southampton,0-1,2-1
2021-04-22,Leicester,West Brom,3-0,3-0
2021-04-23,Arsenal,Everton,0-0,0-1
2021-04-24,Liverpool,Newcastle,1-0,1-1
2021-04-24,West Ham,Chelsea,0-1,0-1
2021-04-24,Sheffield United,Brighton,1-0,1-0
2021-04-25,Wolves,Burnley,0-3,0-4
2021-04-25,Leeds,Man United,0-0,0-0
2021-04-25,Aston Villa,West Brom,1-1,2-2
2021-04-26,Leicester,Crystal Palace,0-1,2-1
2021-04-30,Southampton,Leicester,0-0,1-1
2021-05-01,Chelsea,Fulham,1-0,2-0
2021-05-01,Everton,Aston Villa,1-1,1-2
2021-05-01,Crystal Palace,Man City,0-0,0-2
2021-05-01,Brighton,Leeds,1-0,2-0
2021-05-02,Newcastle,Arsenal,0-1,0-2
2021-05-02,Tottenham,Sheffield United,1-0,4-0
2021-05-03,West Brom,Wolves,0-1,1-1
2021-05-03,Burnley,West Ham,1-2,1-2
2021-05-07,Leicester,Newcastle,0-2,2-4
2021-05-08,Leeds,Tottenham,2-1,3-1
2021-05-08,Sheffield United,Crystal Palace,0-1,0-2
2021-05-08,Man City,Chelsea,1-0,1-2
2021-05-08,Liverpool,Southampton,1-0,2-0
2021-05-09,Arsenal,West Brom,2-0,3-1
2021-05-09,West Ham,Everton,0-1,0-1
2021-05-09,Wolves,Brighton,0-1,2-1
2021-05-09,Aston Villa,Man United,1-0,1-3
2021-05-10,Fulham,Burnley,0-2,0-2
2021-05-11,Man United,Leicester,1-1,1-2
2021-05-11,Southampton,Crystal Palace,1-1,3-1
2021-05-12,Chelsea,Arsenal,0-1,0-1
2021-05-13,Aston Villa,Everton,0-0,0-0
2021-05-13,Man United,Liverpool,1-2,2-4
2021-05-14,Newcastle,Man City,2-2,3-4
2021-05-15,Southampton,Fulham,1-0,3-1
2021-05-15,Brighton,West Ham,0-0,1-1
2021-05-15,Burnley,Leeds,0-1,0-4
2021-05-16,Crystal Palace,Aston Villa,1-2,3-2
2021-05-16,Tottenham,Wolves,1-0,2-0
2021-05-16,West Brom,Liverpool,1-1,1-2
2021-05-16,Everton,Sheffield United,0-1,0-1
2021-05-18,Man United,Fulham,1-0,1-1
2021-05-18,Southampton,Leeds,0-0,0-2
2021-05-18,Brighton,Man City,0-1,3-2
2021-05-18,Chelsea,Leicester,0-0,2-1
2021-05-19,Crystal Palace,Arsenal,0-1,1-3
2021-05-19,West Brom,West Ham,1-1,1-3
2021-05-19,Burnley,Liverpool,0-1,0-3
2021-05-19,Everton,Wolves,0-0,1-0
2021-05-19,Newcastle,Sheffield United,1-0,1-0
2021-05-19,Tottenham,Aston Villa,1-2,1-2
2021-05-23,Liverpool,Crystal Palace,1-0,2-0
2021-05-23,Sheffield United,Burnley,1-0,1-0
2021-05-23,Man City,Everton,2-0,5-0
2021-05-23,Leicester,Tottenham,1-1,2-4
2021-05-23,West Ham,Southampton,2-0,3-0
2021-05-23,Fulham,Newcastle,0-1,0-2
2021-05-23,Aston Villa,Chelsea,1-0,2-1
2021-05-23,Arsenal,Brighton,0-0,2-0
2021-05-23,Leeds,West Brom,2-0,3-1
2021-05-23,Wolves,Man United,1-2,1-2
