HomeTeam,AwayTeam,Date,FT,HT
Ipswich,Southampton,2025-02-01,1-2,1-1
Newcastle,Fulham,2025-02-01,1-2,1-0
Wolves,Aston Villa,2025-02-01,2-0,1-0
Brentford,Tottenham,2025-02-02,0-2,0-1
Man United,Crystal Palace,2025-02-02,0-2,0-0
Arsenal,Man City,2025-02-02,5-1,1-0
Chelsea,West Ham,2025-02-03,2-1,0-1
Everton,Liverpool,2025-02-12,2-2,1-1
Brighton,Chelsea,2025-02-14,3-0,2-0
Leicester,Arsenal,2025-02-15,0-2,0-0
Aston Villa,Ipswich,2025-02-15,1-1,0-0
Fulham,Nott'm Forest,2025-02-15,2-1,1-1
Man City,Newcastle,2025-02-15,4-0,3-0
Southampton,Bournemouth,2025-02-15,1-3,0-2
West Ham,Brentford,2025-02-15,0-1,0-1
Crystal Palace,Everton,2025-02-15,1-2,0-1
Liverpool,Wolves,2025-02-16,2-1,2-0
Tottenham,Man United,2025-02-16,1-0,1-0
Aston Villa,Liverpool,2025-02-19,2-2,2-1
Leicester,Brentford,2025-02-21,0-4,0-3
Everton,Man United,2025-02-22,2-2,2-0
Arsenal,West Ham,2025-02-22,0-1,0-1
Bournemouth,Wolves,2025-02-22,0-1,0-1
Fulham,Crystal Palace,2025-02-22,0-2,0-1
Ipswich,Tottenham,2025-02-22,1-4,1-2
Southampton,Brighton,2025-02-22,0-4,0-1
Aston Villa,Chelsea,2025-02-22,2-1,0-1
Newcastle,Nott'm Forest,2025-02-23,4-3,4-1
Man City,Liverpool,2025-02-23,0-2,0-2
Chelsea,Southampton,2025-02-25,4-0,3-0
Wolves,Fulham,2025-02-25,1-2,1-1
Brighton,Bournemouth,2025-02-25,2-1,1-0
Crystal Palace,Aston Villa,2025-02-25,4-1,1-0
Brentford,Everton,2025-02-26,1-1,1-0
Man United,Ipswich,2025-02-26,3-2,2-2
Nott'm Forest,Arsenal,2025-02-26,0-0,0-0
Tottenham,Man City,2025-02-26,0-1,0-1
Liverpool,Newcastle,2025-02-26,2-0,1-0
West Ham,Leicester,2025-02-27,2-0,2-0
Liverpool,Southampton,2025-03-08,3-1,0-1
Wolves,Everton,2025-03-08,1-1,1-1
Brentford,Aston Villa,2025-03-08,0-1,0-0
Brighton,Fulham,2025-03-08,2-1,1-1
Nott'm Forest,Man City,2025-03-08,1-0,0-0
Crystal Palace,Ipswich,2025-03-08,1-0,0-0
Chelsea,Leicester,2025-03-09,1-0,0-0
Tottenham,Bournemouth,2025-03-09,2-2,0-1
Man United,Arsenal,2025-03-09,1-1,1-0
West Ham,Newcastle,2025-03-10,0-1,0-0
